name,type,equipment,frequency,day_of_week,fortnite,month,day_of_month,start_date,end_date,assigned_to,start_hour,end_hour,description
"Motors, Random Wound – Major Maintenance",Schedule,"156635 - MOTOR,#2 N2 BACKUP VAP BLOWER",Half yearly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0591-09
"Motors, Random Wound – Periodic Maintenance",Schedule,"156636 - MOTOR,#3 N2 BACKUP VAP BLOWER",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0590-09
"Motors, Random Wound – Major Maintenance",Schedule,"156636 - MOTOR,#3 N2 BACKUP VAP BLOWER",Half yearly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0591-09
OSS: Calibration of CSS Analyzers,Schedule,"167091 - ANALYZER, AE44A CO MONITOR FOR PLANT AREA",Monthly,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0820-09
OSS: Calibration of CSS Analyzers,Schedule,"167092 - ANALYZER, AE44B CO MONITOR FOR PLANT AREA",Monthly,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0820-09
AOP Vibration to be taken during SD and Opportunity,Schedule,"184621 - PUMP, AUX.LUBE OIL MNC",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND000-002-09
AOP Vibration to be taken during SD and Opportunity,Schedule,"184622 - MOTOR, AUX.LUBE OIL MNC",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND000-002-09
AOP Vibration to be taken during SD and Opportunity,Schedule,"184624 - MOTOR, AUX.OIL PUMP MAC1",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND000-002-09
AOP Vibration to be taken during SD and Opportunity,Schedule,"184626 - PUMP,AUX. OIL PUMP MAC2",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND000-002-09
AOP Vibration to be taken during SD and Opportunity,Schedule,"184627 - MOTOR,AUX. OIL PUMP MAC2",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND000-002-09
KMAC - LTPP Probe Replacement,Schedule,"34516 - KMAC, ARGON  PIPELINE INSTRUMENTATION",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0881-09
KMAC - Visual Inspection (Probe and Main Regulator),Schedule,"34516 - KMAC, ARGON  PIPELINE INSTRUMENTATION",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0882-09
REPLACEMENT OF RUPTURE DISCS ON CRYOGENIC LIQUID STORAGE TANKS,Schedule,"34517 - TANK, #1 TM ARGON, TC-1910",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-099-09
REPLACEMENT OF RUPTURE DISCS ON CRYOGENIC LIQUID STORAGE TANKS,Schedule,"34518 - TANK, #2 TM ARGON, TC-2910",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-099-09
Yearly inspection of Ambient Vaporizer with Pneumatic test,Schedule,"34523 - VAPORIZER, AR AMBIENT ( 2 NOS)",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-067-09
KMAC - LTPP Probe Replacement,Schedule,"34525 - KMAC, HP N2  PIPELINE INSTRUMENTATION",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0881-09
KMAC - Visual Inspection (Probe and Main Regulator),Schedule,"34525 - KMAC, HP N2  PIPELINE INSTRUMENTATION",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0882-09
Rolling Element Bearing Regreasing Route,Schedule,"34526 - PUMP/MOTOR, HP N2 BACKUP #1",Half yearly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0024-09
"Motors, Random Wound – Periodic Maintenance",Schedule,"34526 - PUMP/MOTOR, HP N2 BACKUP #1",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0590-09
Vibration Shutdown (Earthquake) Switch - Functional Test,Schedule,"34526 - PUMP/MOTOR, HP N2 BACKUP #1",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0003-09
"Motors, Random Wound – Major Maintenance",Schedule,"34526 - PUMP/MOTOR, HP N2 BACKUP #1",Half yearly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0591-09
Rolling Element Bearing Regreasing Route,Schedule,"34527 - PUMP/MOTOR, HP N2 BACKUP #2",Half yearly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0024-09
"Motors, Random Wound – Periodic Maintenance",Schedule,"34527 - PUMP/MOTOR, HP N2 BACKUP #2",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0590-09
Vibration Shutdown (Earthquake) Switch - Functional Test,Schedule,"34527 - PUMP/MOTOR, HP N2 BACKUP #2",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0003-09
"Motors, Random Wound – Major Maintenance",Schedule,"34527 - PUMP/MOTOR, HP N2 BACKUP #2",Half yearly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0591-09
REPLACEMENT OF RUPTURE DISCS ON CRYOGENIC LIQUID STORAGE TANKS,Schedule,"34532 - TANK, TM NITROGEN",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-099-09
Yearly inspection of Ambient Vaporizer with Pneumatic test,Schedule,"34534 - VAPORIZER, HP NITROGEN AMBIENT ( 6NOS)",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-067-09
KMAC - LTPP Probe Replacement,Schedule,"34535 - KMAC, MP N2  PIPELINE INSTRUMENTATION",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0881-09
KMAC - Visual Inspection (Probe and Main Regulator),Schedule,"34535 - KMAC, MP N2  PIPELINE INSTRUMENTATION",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0882-09
"Motors, Random Wound – Major Maintenance",Schedule,"34536 - PUMP/MOTOR, MP LN2 BACKUP",Half yearly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0591-09
"Motors, Random Wound – Periodic Maintenance",Schedule,"34536 - PUMP/MOTOR, MP LN2 BACKUP",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0590-09
KMAC - LTPP Probe Replacement,Schedule,"34540 - KMAC, OXYGEN  PIPELINE INSTRUMENTATION",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0881-09
KMAC - Visual Inspection (Probe and Main Regulator),Schedule,"34540 - KMAC, OXYGEN  PIPELINE INSTRUMENTATION",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0882-09
"Motors, Random Wound – Periodic Maintenance",Schedule,"34541 - PUMP/MOTOR, LOX BACKUP #1",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0590-09
"Motors, Random Wound – Major Maintenance",Schedule,"34541 - PUMP/MOTOR, LOX BACKUP #1",Half yearly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0591-09
"Motors, Random Wound – Periodic Maintenance",Schedule,"34542 - PUMP/MOTOR, LOX BACKUP #2",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0590-09
"Motors, Random Wound – Major Maintenance",Schedule,"34542 - PUMP/MOTOR, LOX BACKUP #2",Half yearly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0591-09
Yearly inspection of Ambient Vaporizer with Pneumatic test,Schedule,"34547 - VAPORIZER,  OXYGEN AMBIENT  (16 NOS)",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-067-09
Rolling Element Bearing Regreasing Route,Schedule,"34549 - MOTOR, COOLING WATER PUMP #1",Quarterly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0024-09
"Motors, Random Wound – Major Maintenance",Schedule,"34549 - MOTOR, COOLING WATER PUMP #1",Half yearly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0591-09
"Motors, Random Wound – Periodic Maintenance",Schedule,"34549 - MOTOR, COOLING WATER PUMP #1",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0590-09
Rolling Element Bearing Regreasing Route,Schedule,"34550 - MOTOR, COOLING WATER PUMP #2",Quarterly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0024-09
"Motors, Random Wound – Major Maintenance",Schedule,"34550 - MOTOR, COOLING WATER PUMP #2",Half yearly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0591-09
"Motors, Random Wound – Periodic Maintenance",Schedule,"34550 - MOTOR, COOLING WATER PUMP #2",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0590-09
Rolling Element Bearing Regreasing Route,Schedule,"34551 - MOTOR, COOLING WATER PUMP #3",Quarterly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0024-09
"Motors, Random Wound – Major Maintenance",Schedule,"34551 - MOTOR, COOLING WATER PUMP #3",Half yearly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0591-09
"Motors, Random Wound – Periodic Maintenance",Schedule,"34551 - MOTOR, COOLING WATER PUMP #3",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0590-09
Discharge Check Valve Inspection,Schedule,"34552 - PUMP, #1, COOLING WATER",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0007-09
Water Pumps inspection and overhauling,Schedule,"34552 - PUMP, #1, COOLING WATER",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND000-008-09
ANNUAL INSPECTION OF WATER PUMPS,Schedule,"34552 - PUMP, #1, COOLING WATER",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-017-09
HALF YEARLY INSPECTION OF WATER PUMPS,Schedule,"34552 - PUMP, #1, COOLING WATER",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-027-09
Oil Change - machinery with less than 20 gallon sump,Schedule,"34552 - PUMP, #1, COOLING WATER",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0278-09
General Service Coupling Inspection,Schedule,"34552 - PUMP, #1, COOLING WATER",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0218-09
ANNUAL INSPECTION OF WATER PUMPS,Schedule,"34553 - PUMP, #2, COOLING WATER",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-017-09
General Service Coupling Inspection,Schedule,"34553 - PUMP, #2, COOLING WATER",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0218-09
Water Pumps inspection and overhauling,Schedule,"34553 - PUMP, #2, COOLING WATER",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND000-008-09
Discharge Check Valve Inspection,Schedule,"34553 - PUMP, #2, COOLING WATER",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0007-09
Oil Change - machinery with less than 20 gallon sump,Schedule,"34553 - PUMP, #2, COOLING WATER",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0278-09
HALF YEARLY INSPECTION OF WATER PUMPS,Schedule,"34553 - PUMP, #2, COOLING WATER",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-027-09
Oil Change - machinery with less than 20 gallon sump,Schedule,"34554 - PUMP, #3, COOLING WATER",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0278-09
Water Pumps inspection and overhauling,Schedule,"34554 - PUMP, #3, COOLING WATER",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND000-008-09
HALF YEARLY INSPECTION OF WATER PUMPS,Schedule,"34554 - PUMP, #3, COOLING WATER",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-027-09
ANNUAL INSPECTION OF WATER PUMPS,Schedule,"34554 - PUMP, #3, COOLING WATER",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-017-09
General Service Coupling Inspection,Schedule,"34554 - PUMP, #3, COOLING WATER",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0218-09
Discharge Check Valve Inspection,Schedule,"34554 - PUMP, #3, COOLING WATER",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0007-09
Oil Change - machinery with less than 20 gallon sump,Schedule,"34555 - FAN, #1, COOLING TOWER",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0278-09
Vibration Shutdown (Earthquake) Switch - Functional Test,Schedule,"34555 - FAN, #1, COOLING TOWER",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0003-09
General Service Coupling Inspection,Schedule,"34555 - FAN, #1, COOLING TOWER",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0218-09
Cooling Tower - Fan Drive System Inspection,Schedule,"34555 - FAN, #1, COOLING TOWER",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0002-09
Vibration Shutdown (Earthquake) Switch - Functional Test,Schedule,"34556 - FAN, #2, COOLING TOWER",Annually,5,3,5,29,2020-05-28,,*INST-TATA,14:30:07,23:30:07,STD-0003-09
General Service Coupling Inspection,Schedule,"34556 - FAN, #2, COOLING TOWER",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0218-09
Cooling Tower - Fan Drive System Inspection,Schedule,"34556 - FAN, #2, COOLING TOWER",Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0002-09
Oil Change - machinery with less than 20 gallon sump,Schedule,"34556 - FAN, #2, COOLING TOWER",Half yearly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0278-09
"Motors, Random Wound – Periodic Maintenance",Schedule,"34559 - MOTOR, COOLING TOWER FAN #1",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0590-09
"Motors, Random Wound – Major Maintenance",Schedule,"34559 - MOTOR, COOLING TOWER FAN #1",Half yearly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0591-09
"Motors, Random Wound – Major Maintenance",Schedule,"34560 - MOTOR, COOLING TOWER FAN #2",Half yearly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0591-09
"Motors, Random Wound – Periodic Maintenance",Schedule,"34560 - MOTOR, COOLING TOWER FAN #2",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0590-09
Acid Tank - Fitting Inspection (Polyethylene),Schedule,"34561 - TANK, ACID",Monthly,5,3,5,29,2020-05-28,,*PROD-TATA,14:30:07,23:30:07,STD-0213-09
Acid Tank - External Inspection (Polyethylene),Schedule,"34561 - TANK, ACID",Quarterly,5,3,5,29,2020-05-28,,*PROD-TATA,14:30:07,23:30:07,STD-0214-09
Acid Tank - Internal Inspection (Polyethylene),Schedule,"34561 - TANK, ACID",Annually,5,3,5,29,2020-05-28,,*PROD-TATA,14:30:07,23:30:07,STD-0215-09
Cooling Tower Spray Nozzle Inspection,Schedule,34562 - COOLING TOWER,Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-113-09
Cooling Tower - Structure Inspection,Schedule,34562 - COOLING TOWER,Annually,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,STD-0001-09
CLEAN WATER INTAKE SCREENS,Schedule,34562 - COOLING TOWER,Monthly,5,3,5,29,2020-05-28,,*MECH-TATA,14:30:07,23:30:07,IND014-012-09
Switchgear Batteries – Periodic Maintenance,Schedule,"34564 - BATBANK, EMERGENCY BACKUP DC SUPPLY",Monthly,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0551-09
Switchgear Batteries – Major Maintenance,Schedule,"34564 - BATBANK, EMERGENCY BACKUP DC SUPPLY",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0552-09
Medium Voltage Breaker – Major Maintenance,Schedule,"34565 - BREAKER, 33KV  UNIT 01,  INCOMER#1 FROM TATA",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0596-09
Medium Voltage Breaker - Periodic Maintenance,Schedule,"34565 - BREAKER, 33KV  UNIT 01,  INCOMER#1 FROM TATA",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0520-09
Medium Voltage Breaker – Major Maintenance,Schedule,"34567 - BREAKER, 33KV  UNIT 03, FEED  TO 30MVA TRANSFORMER",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0596-09
Medium Voltage Breaker - Periodic Maintenance,Schedule,"34567 - BREAKER, 33KV  UNIT 03, FEED  TO 30MVA TRANSFORMER",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0520-09
Medium Voltage Breaker – Major Maintenance,Schedule,"34568 - BREAKER, 33KV  UNIT 04,BUS COUPLER",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0596-09
Medium Voltage Breaker - Periodic Maintenance,Schedule,"34568 - BREAKER, 33KV  UNIT 04,BUS COUPLER",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0520-09
Medium Voltage Breaker – Major Maintenance,Schedule,"34570 - BREAKER, 33KV  UNIT 05, FEED  TP 30MVA TRANSFORMER",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0596-09
Medium Voltage Breaker - Periodic Maintenance,Schedule,"34570 - BREAKER, 33KV  UNIT 05, FEED  TP 30MVA TRANSFORMER",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0520-09
Medium Voltage Breaker – Major Maintenance,Schedule,"34571 - BREAKER, 33KV  UNIT 07, FEED INCOMER#2 FROM TATA",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0596-09
Medium Voltage Breaker - Periodic Maintenance,Schedule,"34571 - BREAKER, 33KV  UNIT 07, FEED INCOMER#2 FROM TATA",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0520-09
Medium Voltage Breaker - Periodic Maintenance,Schedule,"34572 - BREAKER, 11KV  UNIT 11, INCOMER  FROM 30MVA TR.1",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0520-09
Medium Voltage Breaker – Major Maintenance,Schedule,"34572 - BREAKER, 11KV  UNIT 11, INCOMER  FROM 30MVA TR.1",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0596-09
Medium Voltage Breaker – Major Maintenance,Schedule,"34574 - BREAKER, 11KV UNIT 14, FEED TO MAC#1",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0596-09
Medium Voltage Breaker - Periodic Maintenance,Schedule,"34574 - BREAKER, 11KV UNIT 14, FEED TO MAC#1",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0520-09
Medium Voltage Breaker - Periodic Maintenance,Schedule,"34575 - BREAKER, 11KV UNIT 15, FEED TO MCC1 SECTION A",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0520-09
Medium Voltage Breaker – Major Maintenance,Schedule,"34575 - BREAKER, 11KV UNIT 15, FEED TO MCC1 SECTION A",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0596-09
Medium Voltage Breaker - Periodic Maintenance,Schedule,"34576 - BREAKER, 11KV  UNIT 17, FEED FROM 30MVA TR.2",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0520-09
Medium Voltage Breaker – Major Maintenance,Schedule,"34576 - BREAKER, 11KV  UNIT 17, FEED FROM 30MVA TR.2",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0596-09
Medium Voltage Breaker - Periodic Maintenance,Schedule,"34577 - BREAKER, 11KV UNIT 19, FEED TO MCC1 SECTION B",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0520-09
Medium Voltage Breaker – Major Maintenance,Schedule,"34577 - BREAKER, 11KV UNIT 19, FEED TO MCC1 SECTION B",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0596-09
Medium Voltage Breaker – Major Maintenance,Schedule,"34578 - BREAKER, 11KV UNIT 20, FEED TO MNC",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0596-09
Medium Voltage Breaker - Periodic Maintenance,Schedule,"34578 - BREAKER, 11KV UNIT 20, FEED TO MNC",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0520-09
Medium Voltage Breaker - Periodic Maintenance,Schedule,"34579 - BREAKER, 11KV UNIT 21,FEED TO MAC#2",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0520-09
Medium Voltage Breaker – Major Maintenance,Schedule,"34579 - BREAKER, 11KV UNIT 21,FEED TO MAC#2",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0596-09
Protective Relay – Major Calibration,Schedule,"34580 - MCC, #1 SECTION A",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0553-09
MCC – Major Maintenance,Schedule,"34580 - MCC, #1 SECTION A",Annually,5,3,5,29,2020-05-28,,*ELEC-TATA,14:30:07,23:30:07,STD-0541-09
